"Date_exported","Period","Organisation unit","Number of fixed sessions planned","Daily fixed sessions conducted","Number of outreach sessions planned","FS_SS visits conducted by the LGA team ","OS_SS visits conducted by the LGA team ","Daily Fixed Sessions Reporting rate","Daily Outreach Sessions Reporting rate","Daily outreach sessions conducted","FS_Number of children given BCG","FS_Number vaccinated _Penta 1","FS_Number vaccinated _Penta2","FS_Number vaccinated _Penta3","FS_Number of children given IPV","FS_Number vaccinated _Measles","FS_BCG doses opened for session","FS_Doses opened  for  session_Measles","FS_Doses opened for session_Penta","FS_IPV doses opened for session","OS_Number of children given BCG","OS_Number vaccinated_Penta1","OS_Number vaccinated_Penta2","OS_Number vaccinated_Penta3","OS_Number of children given IPV","OS_Number vaccinated_Measles","OS_BCG doses opened for session","OS_Doses opened for session_Penta","OS_IPV doses opened for session","OS_Doses opened for session_Measles","Total BCG doses opened for fixed and outreach sessions","Total Number of children given BCG in fixed and outreach sessions","Total Measles doses utilized in fixed and outreach sessions","Total Number of children vaccinated with Measles in fixed and outreach sessions","Total Penta doses utilized in fixed and outreach sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in outreach sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in fixed sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in fixed and outreach sessions","Total IPV doses utilized in fixed and outreach sessions","Total Number of children vaccinated with IPV in fixed and outreach sessions"
"2018-12-06 09:27:49","2018W35","Bauchi","662.0",649,338,303,104,8.21207136530431,3.59859920299481,298,2201,2090,1945,2062,2123,1805,6883,3312,6762,3730,477,775,743,794,810,558,2097,2648,1668,1096,8980,2678,4408,2363,9410,2312,6097,8409,5398,2933
"2018-12-06 09:27:49","2018W35","Bayelsa","86.0",67,74,27,40,3.23359073359073,3.19488817891374,70,280,316,307,292,329,261,982,532,1112,672,312,349,306,273,273,355,1074,1114,527,583,2056,592,1115,616,2226,928,915,1843,1199,602
"2018-12-06 09:27:49","2018W35","Borno","277.0",242,189,107,89,4.63423975488319,2.6422406200458,150,1479,1395,1237,1236,1246,1026,3599,1776,4243,2014,483,759,651,673,657,620,1774,2243,1269,1228,5373,1962,3004,1646,6486,2083,3868,5951,3283,1903
"2018-12-06 09:27:49","2018W35","Gombe","160.0",166,126,22,13,3.84972170686456,2.22996515679442,96,679,714,663,731,723,522,1444,830,1966,1152,116,211,191,197,215,184,477,719,560,449,1921,795,1279,706,2685,599,2108,2707,1712,938
"2018-12-06 09:27:49","2018W35","Jigawa","372.0",310,971,137,337,6.18515562649641,16.6833166833167,835,1887,1866,1687,1817,1912,1397,4516,2592,5769,3173,1645,2424,2124,2332,2547,2077,7699,8995,6342,5366,12215,3532,7958,3474,14764,6880,5370,12250,9515,4459
"2018-12-06 09:27:49","2018W35","Kaduna","483.0",507,390,228,117,4.83824792442027,3.55233002291826,372,2639,2390,2097,2240,2323,2131,5981,3561,7486,4279,504,1030,845,947,998,879,1769,3214,1878,1636,7750,3143,5197,3010,10700,2822,6727,9549,6157,3321
"2018-12-06 09:27:49","2018W35","Kano","662.0",744,479,402,158,7.80365009439899,5.04880864910255,481,4466,4061,3806,4072,4165,3368,11424,5430,12824,5968,777,1260,1177,1178,1427,934,3597,3944,1790,2112,15021,5243,7542,4302,16768,3615,11939,15554,7758,5592
"2018-12-06 09:27:49","2018W35","Katsina","341.0",333,216,148,46,2.97135718747212,1.27678571428571,143,1565,1539,1547,1649,1569,1149,4358,2179,5203,2847,267,369,333,368,373,311,1408,1329,1169,692,5766,1832,2871,1460,6532,1070,4735,5805,4016,1942
"2018-12-06 09:27:49","2018W35","Kebbi","155.0",191,148,88,50,3.51620029455081,2.48847926267281,135,690,768,709,702,739,645,1989,1097,2252,1298,312,372,417,435,434,380,1056,1456,818,656,3045,1002,1753,1025,3708,1224,2179,3403,2116,1173
"2018-12-06 09:27:49","2018W35","Kogi","155.0",147,152,45,79,1.95167286245353,1.98006644518272,149,839,860,752,830,835,801,1938,1223,2568,1344,329,585,476,524,562,547,1260,1697,994,1005,3198,1168,2228,1348,4265,1585,2442,4027,2338,1397
"2018-12-06 09:27:49","2018W35","Nasarawa","230.0",235,145,44,23,3.44675858022881,2.02405397477266,138,624,607,460,511,568,470,1911,1035,1869,1055,134,209,169,173,168,208,644,694,393,484,2555,758,1519,678,2563,551,1578,2129,1448,736
